Loaded expectmax lib for 2048: /cluster/home/it_stu9/2048-api/game2048/expectimax/bin/2048.so
score: 2048	#420 	 loss:0.682 	 acc:0.680
score: 1024	#421 	 loss:0.677 	 acc:0.681
score: 1024	#422 	 loss:0.678 	 acc:0.681
score: 2048	#423 	 loss:0.689 	 acc:0.678
score: 2048	#424 	 loss:0.684 	 acc:0.678
score: 1024	#425 	 loss:0.682 	 acc:0.679
score: 2048	#426 	 loss:0.676 	 acc:0.683
score: 512	#427 	 loss:0.677 	 acc:0.683
score: 1024	#428 	 loss:0.682 	 acc:0.677
score: 2048	#429 	 loss:0.682 	 acc:0.680
score: 256	#430 	 loss:0.673 	 acc:0.680
score: 512	#431 	 loss:0.675 	 acc:0.686
score: 4096	#432 	 loss:0.678 	 acc:0.686
score: 2048	#433 	 loss:0.676 	 acc:0.680
score: 2048	#434 	 loss:0.680 	 acc:0.676
score: 2048	#435 	 loss:0.669 	 acc:0.686
score: 1024	#436 	 loss:0.675 	 acc:0.677
score: 4096	#437 	 loss:0.676 	 acc:0.683
score: 1024	#438 	 loss:0.686 	 acc:0.673
score: 4096	#439 	 loss:0.673 	 acc:0.682
score: 2048	#440 	 loss:0.670 	 acc:0.686
score: 2048	#441 	 loss:0.684 	 acc:0.675
score: 512	#442 	 loss:0.677 	 acc:0.681
score: 2048	#443 	 loss:0.684 	 acc:0.675
score: 1024	#444 	 loss:0.682 	 acc:0.680
score: 2048	#445 	 loss:0.680 	 acc:0.680
score: 4096	#446 	 loss:0.674 	 acc:0.676
score: 2048	#447 	 loss:0.676 	 acc:0.677
score: 2048	#448 	 loss:0.683 	 acc:0.675
score: 1024	#449 	 loss:0.668 	 acc:0.682
score: 1024	#450 	 loss:0.678 	 acc:0.679
score: 2048	#451 	 loss:0.677 	 acc:0.682
score: 1024	#452 	 loss:0.691 	 acc:0.676
score: 2048	#453 	 loss:0.681 	 acc:0.681
score: 256	#454 	 loss:0.684 	 acc:0.678
score: 4096	#455 	 loss:0.680 	 acc:0.677
score: 1024	#456 	 loss:0.685 	 acc:0.679
score: 4096	#457 	 loss:0.680 	 acc:0.684
score: 2048	#458 	 loss:0.681 	 acc:0.681
score: 2048	#459 	 loss:0.675 	 acc:0.682
score: 2048	#460 	 loss:0.677 	 acc:0.687
score: 2048	#461 	 loss:0.678 	 acc:0.681
score: 2048	#462 	 loss:0.682 	 acc:0.678
score: 2048	#463 	 loss:0.674 	 acc:0.681
